Sr. No.,Date,Field Code,Embryo Code,Species,Egg Length (mm) ,Egg Width (mm) ,Snout to Vent (cm),Body Length (cm),Tail Length (cm),Head Length (mm),Head Width (mm),Snout to Nose (mm),Nose to Eye (mm),Gape (mm),Neck Circumference (mm),Body Circumference (mm),Egg Weigth (g) ,Embryo Weight (g),Yolk Weight (g),Sex,Photo No.,Remarks
1,03-02-2016,CESS 2001,CESS 2001.A1,Hydrophis schistosus,,,11.1,,1.9,,,,,,,,,,,Male,,
2,03-02-2016,CESS 2001,CESS 2001.A2,Hydrophis schistosus,,,11.8,,1.9,,,,,,,,,,,Male,,
3,03-02-2016,CESS 2001,CESS 2001.A3,Hydrophis schistosus,,,13.4,,2.3,,,,,,,,,,,Male,,
4,03-02-2016,CESS 2001,CESS 2001.A4,Hydrophis schistosus,,,9,,1.6,,,,,,,,,,,Male,,
5,12-03-2017,HSGR02,HSGR02.A1,Hydrophis schistosus,,,18.5,,3.1,0.963,0.506,,0.2,0.82,0.476,,,,,Female,,
6,12-03-2017,HSGR02,HSGR02.A2,Hydrophis schistosus,,,19,,3.2,0.886,0.478,,0.259,0.671,0.4,,,,,Female,,
7,12-03-2017,HSGR02,HSGR02.A3,Hydrophis schistosus,,,20,,3.2,0.829,0.53,,0.313,0.79,0.531,,,,,Female,,
8,12-03-2017,HSGR02,HSGR02.A4,Hydrophis schistosus,,,20,,3.2,0.855,0.403,,0.278,0.79,0.362,,,,,Female,,
9,12-03-2017,HSGR02,HSGR02.A5,Hydrophis schistosus,,,19.5,,3.2,0.872,0.399,,0.236,0.785,0.373,,,,,Female,,
10,12-03-2017,HSGR02,HSGR02.A6,Hydrophis schistosus,,,18,,3.1,0.935,0.482,,0.325,0.78,0.402,,,,,Male,,
11,12-03-2017,HSGR02,HSGR02.A7,Hydrophis schistosus,,,18.5,,3.3,0.827,0.45,,0.279,0.82,0.432,,,,,Male,,
12,12-03-2017,HSGR02,HSGR02.A8,Hydrophis schistosus,,,19.7,,3.5,0.873,0.464,,0.317,0.744,0.352,,,,,Male,,
13,12-03-2017,HSGR02,HSGR02.A9,Hydrophis schistosus,,,20,,3.6,0.897,0.434,,0.207,0.667,0.369,,,,,Male,,
14,12-03-2017,HSGR02,HSGR02.A10,Hydrophis schistosus,,,19.4,,3.4,0.816,0.459,,0.29,0.756,0.418,,,,,Male,,
15,12-03-2017,HSGR02,HSGR02.A11,Hydrophis schistosus,,,20,,3.5,0.897,0.434,,0.31,0.754,0.375,,,,,Male,,
16,12-03-2017,HSGR02,HSGR02.A12,Hydrophis schistosus,,,20.2,,3.5,0.823,0.501,,0.21,0.624,0.399,,,,,Male,,
17,20-03-2017,HSGR03,HSGR03.A1,Hydrophis schistosus,,,15.1,,1.8,0.939,0.511,,0.232,0.754,0.537,,,,,Female,,
18,20-03-2017,HSGR03,HSGR03.A2,Hydrophis schistosus,,,15.6,,2.1,0.978,0.637,,0.284,0.69,0.358,,,,,Male,,
19,20-03-2017,HSGR03,HSGR03.A3,Hydrophis schistosus,,,15,,1.8,0.933,0.524,,0.282,0.78,0.432,,,,,Male,,
20,20-03-2017,HSGR03,HSGR03.A4,Hydrophis schistosus,,,16.2,,2.2,0.807,0.447,,0.255,0.534,0.312,,,,,Male,,
21,20-03-2017,HSGR03,HSGR03.A5,Hydrophis schistosus,,,17,,2.5,0.818,0.447,,0.24,0.685,0.372,,,,,Male,,
22,20-03-2017,HSGR03,HSGR03.A6,Hydrophis schistosus,,,16.7,,2.4,0.882,0.493,,0.243,0.601,0.401,,,,,Male,,
23,20-03-2017,HSGR03,HSGR03.A7,Hydrophis schistosus,,,14.9,,3.8,0.848,0.504,,0.206,0.575,0.326,,,,,Male,,
24,20-03-2017,HSGR03,HSGR03.A8,Hydrophis schistosus,,,16.5,,2.1,0.894,0.58,,0.29,0.753,0.282,,,,,Male,,
25,20-03-2017,HSGR03,HSGR03.A9,Hydrophis schistosus,,,15.5,,2,0.863,0.507,,0.227,0.746,0.319,,,,,Male,,
26,21-03-2017,HSGR04,HSGR04.A1,Hydrophis schistosus,,,11.7,,1.2,,,,0.233,0.539,,,,,,Female,,
27,21-03-2017,HSGR04,HSGR04.A2,Hydrophis schistosus,,,11.5,,1.5,,,,0.215,0.58,,,,,,Male,,
28,21-03-2017,HSGR04,HSGR04.A3,Hydrophis schistosus,,,11.2,,1.2,,,,0.219,0.56,,,,,,Male,,
29,21-03-2017,HSGR04,HSGR04.A4,Hydrophis schistosus,,,11.5,,1.2,,,,0.223,0.559,,,,,,Male,,
30,21-03-2017,HSGR05,HSGR05.A1,Hydrophis schistosus,,,15.5,,1.5,0.808,0.497,,0.213,0.715,0.496,,,,,Female,,
31,21-03-2017,HSGR05,HSGR05.A2,Hydrophis schistosus,,,12.5,,1.7,0.8,0.494,,0.24,0.701,0.403,,,,,Male,,
32,21-03-2017,HSGR05,HSGR05.A3,Hydrophis schistosus,,,16.2,,2,0.8,0.439,,0.45,0.672,0.446,,,,,Male,,
33,21-03-2017,HSGR05,HSGR05.A4,Hydrophis schistosus,,,16,,2,0.827,0.434,,0.208,0.697,0.413,,,,,Male,,
34,21-03-2017,HSGR05,HSGR05.A5,Hydrophis schistosus,,,14.5,,1.5,0.948,0.541,,0.24,0.743,0.326,,,,,Female,,
35,21-03-2017,HSGR05,HSGR05.A6,Hydrophis schistosus,,,16.2,,2.2,0.966,0.541,,0.232,0.741,0.19,,,,,Male,,
36,21-03-2017,HSGR05,HSGR05.A7,Hydrophis schistosus,,,14,,2,0.894,0.506,,0.228,0.597,0.244,,,,,Female,,
37,10-11-2017,CESS 2087,CESS 2087.A1,Hyrdrophis viperinus,,,24,,3,1.292,0.786,,0.48,1.12,0.588,,4.5,19.7,,Female,,
38,10-11-2017,CESS 2087,CESS 2087.A2,Hyrdrophis viperinus,5.648,2.018,26.7,,2.6,1.184,0.754,,0.404,11.02,0.536,,5.83,19.7,,Female,,
39,10-11-2017,CESS 2087,CESS 2087.A3,Hyrdrophis viperinus,4.836,2.378,26.5,,2.8,1.288,0.762,,0.412,0.808,0.562,,4.23,20.44,,Female,,
40,10-11-2017,CESS 2087,CESS 2087.A4,Hyrdrophis viperinus,2.226,5.022,24.4,,2.7,1.252,7.72,,0.49,1.172,0.608,,6.32,20.14,,Female,,
41,19-01-2018,HSMT03,HSMT03.A1,Hydrophis schistosus,33.69,27.7,,,,,,,,,,,11,0,11,,,too small to measure
42,19-01-2018,HSMT03,HSMT03.A2,Hydrophis schistosus,30.34,22.84,,,,,,,,,,,11,0,11,,,
43,19-01-2018,HSMT03,HSMT03.A3,Hydrophis schistosus,28.27,20.01,,,,,,,,,,,11,0,11,,,
44,19-01-2018,HSMT03,HSMT03.A4,Hydrophis schistosus,32.23,20.38,,,,,,,,,,,10,0,10,,,
45,19-01-2018,HSMT03,HSMT03.A5,Hydrophis schistosus,32.23,19.63,,,,,,,,,,,10,0,10,,,
46,19-01-2018,HSMT03,HSMT03.A6,Hydrophis schistosus,35.57,22.66,,,,,,,,,,,10,0,10,,,
47,19-01-2018,HSMT03,HSMT03.A7,Hydrophis schistosus,31.68,25.27,,,,,,,,,,,11,0,11,,,
48,19-01-2018,HSMT03,HSMT03.A8,Hydrophis schistosus,27.55,21.82,,,,,,,,,,,11,0,11,,,
49,19-01-2018,HSMT03,HSMT03.B1,Hydrophis schistosus,35,28.23,,,,,,,,,,,11,0,11,,,Specimen Broken
50,19-01-2018,HSMT03,HSMT03.B10,Hydrophis schistosus,27.06,24.79,,,,,,,,,,,11,0,11,,,
51,19-01-2018,HSMT03,HSMT03.B11,Hydrophis schistosus,23.25,29.21,,,,,,,,,,,11,0,11,,,
52,19-01-2018,HSMT03,HSMT03.B12,Hydrophis schistosus,,,,,,,,,,,,,,,,,,Too small + Delicate --> Not in Catalogue?
53,19-01-2018,HSMT03,HSMT03.B2,Hydrophis schistosus,29.93,18.31,,,,,,,,,,,11,0,11,,,
54,19-01-2018,HSMT03,HSMT03.B3,Hydrophis schistosus,28.55,22.82,,,,,,,,,,,12,0,12,,,
