,"Sr..No.","Date","Field.Code","Species","Location.Encounterd","Collection.Time","Depth.Caught..Fathoms.","Depth.Caught.m","Gear.Type","Fishing.Location","Fishing.Substrate","Fishing.Net.Type","Fishing.Target.Species","Fishing.Trip.Start","Fishing.Trip.End","No..of.Hauls","Tow.duration.hours","Average.Haul.Duration..Hours.","Net.Catch..kg.","Condition.at.encounter..D.A.","Gut.Content","Blood","Plasma.Volume","Plasma.Color","Scale","Stress.Hormone","Injured","Survival.Experiment","Condition.after.24.hrs..D.A.","Dissected","Snout.to.Vent..cm.","Body.Length..cm.","Tail.Length..cm.","Head.Length..cm.","Head.Width..cm.","Snout.to.Nose..cm.","Nose.to.Eye..cm.","Gape..cm.","Neck.Circumference..cm.","Body.Circumference..cm.","Weight..g.","Sex","Gravid","Photo.No.","Remarks","Month","Year","Depth.Caught..m.","Class"
"1",1,"28-01-2016",,"Hydrophis schistosus","Chivla beach","08:30:00","NA","NA","GillNet",,,,,"NA","NA","NA",5,"NA","NA","Alive",,,"NA",,,,,,,,74.714608,84.328,"NA","NA","NA","NA","NA","NA","NA","NA",265,"Female",,,,"January",2016,9.35,"NA"
"2",2,"28-01-2016",,"Hydrophis schistosus","Chivla beach","08:30:00","NA","NA","GillNet",,,,,"NA","NA","NA",5,"NA","NA","Alive",,,"NA",,,,,,,,78.7654,88.9,"NA","NA","NA","NA","NA","NA","NA","NA",400,"Female",,,,"January",2016,9.35,"NA"
"3",3,"28-01-2016",,"Hydrophis schistosus","Chivla beach","08:30:00","NA","NA","GillNet",,,,,"NA","NA","NA",4,"NA","NA","Alive",,,"NA",,,,,,,,83.26628,93.98,"NA","NA","NA","NA","NA","NA","NA","NA",465,"Female",,,,"January",2016,7.48,"NA"
"4",4,"28-01-2016",,"Hydrophis schistosus","Chivla beach","08:30:00","NA","NA","GillNet",,,,,"NA","NA","NA",5,"NA","NA","Alive",,,"NA",,,,,,,,91.14282,102.87,"NA","NA","NA","NA","NA","NA","NA","NA",335,"Female",,,,"January",2016,9.35,"NA"
"5",5,"28-01-2016",,"Hydrophis schistosus","Chivla beach","08:30:00","NA","NA","GillNet",,,,,"NA","NA","NA",3,"NA","NA","Alive",,,"NA",,,,,,,,92.718128,104.648,"NA","NA","NA","NA","NA","NA","NA","NA",395,"Female",,,,"January",2016,5.61,"NA"
"6",6,"28-01-2016",,"Hydrophis schistosus","Chivla beach","08:30:00","NA","NA","GillNet",,,,,"NA","NA","NA",5,"NA","NA","Alive",,,"NA",,,,,,,,64.818768,74.676,"NA","NA","NA","NA","NA","NA","NA","NA",245,"Male",,,,"January",2016,9.35,"NA"
"7",7,"28-01-2016",,"Hydrophis schistosus","Chivla beach","08:30:00","NA","NA","GillNet",,,,,"NA","NA","NA",3,"NA","NA","Alive",,,"NA",,,,,,,,66.362072,76.454,"NA","NA","NA","NA","NA","NA","NA","NA",150,"Male",,,,"January",2016,5.61,"NA"
"8",8,"30-01-2016",,"Hydrophis schistosus","Chivla beach","09:00:00","NA","NA","GillNet",,,,,"NA","NA","NA",4,"NA","NA","Alive",,,"NA",,,,,,,,"NA",79.248,"NA","NA","NA","NA","NA","NA","NA","NA",320,,,,,"January",2016,7.48,"NA"
"9",9,"30-01-2016",,"Hydrophis schistosus","Chivla beach","09:00:00","NA","NA","GillNet",,,,,"NA","NA","NA",4,"NA","NA","Alive",,,"NA",,,,,,,,"NA",80.01,"NA","NA","NA","NA","NA","NA","NA","NA",235,,,,,"January",2016,7.48,"NA"
"10",10,"30-01-2016",,"Hydrophis schistosus","Chivla beach","09:00:00","NA","NA","GillNet",,,,,"NA","NA","NA",5,"NA","NA","Alive",,,"NA",,,,,,,,"NA",88.9,"NA","NA","NA","NA","NA","NA","NA","NA",335,,,,,"January",2016,9.35,"NA"
